Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,56.1,68.52,-5.76,0.65,-33.2,283.81,19.07,-4.21,12.63
3-Year Average,,,49.2,,35.34,16.92,-14.11,37.16,45.07,63.58,
5-Year Average,,,,,39.46,,10.76,32.59,23.69,24.1,
10-Year Average,,,,,,,,,,31.55,
