Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-53.21,36.71,-20.46,34.0,-2.33,-10.55,-12.43,37.61,10.72,-12.44,31.24
3-Year Average,-19.21,-10.41,-20.17,13.37,1.35,5.39,-8.54,2.53,10.09,10.08,
5-Year Average,-10.52,-4.77,-10.53,-5.18,-7.81,4.94,-4.0,7.12,3.11,0.88,
10-Year Average,5.77,3.49,-1.45,0.65,0.42,-3.1,-4.39,-2.1,-1.12,-3.56,
