Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,16.51,22.27,-6.95,23.31,30.88,4.96,16.91,2.88,1.14,-14.77,-8.52
3-Year Average,16.43,16.91,9.85,11.94,14.51,19.21,17.11,8.08,6.75,-3.93,
5-Year Average,17.14,19.68,12.42,12.89,16.43,14.02,13.0,15.3,10.81,1.7,
10-Year Average,8.09,9.49,11.34,12.95,17.29,15.57,16.29,13.85,11.85,8.82,
