Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,10.89,1.88,-23.47,23.87,55.43,22.28,11.43,-13.44,17.57,-12.79,
3-Year Average,7.62,5.96,-4.73,-1.15,13.79,33.03,28.42,5.66,4.28,-3.9,
5-Year Average,,8.66,-0.57,2.43,10.73,12.92,14.96,17.83,16.6,3.88,
10-Year Average,5.36,4.5,2.33,8.18,20.48,,11.76,8.24,9.29,7.25,
