Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,10.0,11.0,13.0,13.0,14.0,15.0,15.0,21.0,24.0,22.0,22.0
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,-0.0,0.0,0.0,-0.0,1.0,1.0,1.0,0.0,2.0,-7.0,-7.0
Operating Margin %,-2.5,1.6,3.0,-0.8,6.9,6.0,8.2,1.9,6.5,-30.1,-30.1
Net Income AUD Mil,-0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,-7.0,-7.0
Earnings Per Share AUD,,0.01,0.01,0.01,0.02,0.01,0.01,,0.01,-0.1,-0.1
Dividends AUD,,,,0.01,0.02,0.01,0.02,0.03,0.03,0.02,0.02
Payout Ratio % *,,,,66.7,66.7,96.8,87.6,94.9,,228.5,
Shares Mil,53.0,53.0,54.0,54.0,57.0,57.0,53.0,63.0,71.0,72.0,72.0
Book Value Per Share * AUD,0.25,0.26,0.27,0.28,0.28,0.28,0.28,0.21,0.26,0.25,0.14
Operating Cash Flow AUD Mil,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
Cap Spending AUD Mil,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow AUD Mil,0.0,-0.0,-0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0
Free Cash Flow Per Share * AUD,,,,0.02,0.02,0.01,0.03,0.03,0.01,0.02,
Working Capital AUD Mil,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,-3.0,
