Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,56.53,56.1,,57.23,57.88,58.89,60.29,51.15,51.58,50.73,50.69
Gross Margin,43.47,43.9,,42.77,42.12,41.11,39.71,48.85,48.42,49.27,49.31
SG&A,34.83,33.69,,31.84,32.87,32.54,30.46,0.38,0.33,0.29,0.29
R&D,,,,,,,,,,,
Other,0.19,-1.2,,4.51,7.2,20.48,3.26,41.12,40.4,41.24,38.67
Operating Margin,8.46,11.42,,8.82,9.48,-6.81,8.2,11.57,10.15,12.54,12.79
Net Int Inc & Other,-4.53,-5.82,,-4.5,-4.36,-4.15,-4.66,-4.62,-3.25,-6.32,-9.01
EBT Margin,3.92,5.6,,4.32,5.12,-10.96,3.54,6.94,6.9,6.22,3.78
