Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,18.54,13.99,-22.39,34.13,24.64,3.19,-22.23,2.95,17.56,-28.41,78.44
3-Year Average,,12.82,1.6,5.87,9.07,19.93,0.01,-6.17,-2.0,-4.67,
5-Year Average,,,,8.37,11.88,8.82,0.81,6.67,3.9,-7.01,
10-Year Average,,,,,,,,,6.11,2.0,
