Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,12.32,21.35,-2.81,10.27,12.75,-2.57,2.22,-5.48,-2.84,-7.33,
Free Cash Flow Growth % YOY,12.7,29.07,0.46,10.72,5.09,-11.39,9.68,-3.47,13.95,-10.3,
Cap Ex as a % of Sales,8.54,9.08,8.58,8.87,10.11,11.06,10.05,9.41,7.14,7.4,8.02
Free Cash Flow/Sales %,12.86,16.08,16.7,17.47,16.37,14.21,15.29,15.11,18.59,17.21,14.34
Free Cash Flow/Net Income,1.22,0.88,0.83,0.85,0.8,0.72,0.77,0.87,1.04,0.9,0.59
