Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,,,,432.0,,-340.0,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,3.95,3.46,2.21,2.53,4.84,4.37,5.38,5.86,3.07,2.32,2.54
Free Cash Flow/Sales %,1.97,5.54,10.16,6.03,4.69,5.71,4.61,6.58,8.03,9.8,9.95
Free Cash Flow/Net Income,0.45,1.18,1.65,0.86,0.61,0.71,0.56,0.79,0.94,1.13,1.11
