Key Revenue %,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Year over Year,,,-2.84,11.49,21.4,33.33,21.56,17.73,12.94,6.83,26.37
3-Year Average,,,,6.42,9.56,21.75,25.31,24.03,17.36,12.41,
5-Year Average,,,,,,14.3,16.34,20.89,21.21,18.15,
10-Year Average,,,,,,,,,,,
