Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,95.77,38.38,15.82,59.7,30.1,29.71,4.69,-33.59,39.87,20.53,44.07
3-Year Average,76.76,26.82,46.4,36.79,34.0,39.16,20.89,-3.39,-0.93,3.84,
5-Year Average,,,54.67,30.42,45.49,33.99,26.72,13.38,10.41,8.74,
10-Year Average,,,,,,,,32.42,20.0,25.78,
