Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,81.46,-5.94,12.53,11.47,7.33,-13.31,
3-Year Average,,,,,,,24.31,5.67,10.42,1.22,
5-Year Average,,,,,,,,,18.1,1.88,
10-Year Average,,,,,,,,,,,
