Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,98.19,47.69,-27.81,-30.73,32.97,42.21,2.75,2.0,1.13,-20.34,
3-Year Average,,,28.32,-9.61,-12.72,9.42,24.78,14.23,1.96,-6.34,
5-Year Average,,,,,14.25,6.91,-0.57,6.54,14.92,3.73,
10-Year Average,,,,,,,,,,8.86,
