Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,123.06,-84.98,,,,,3.92
3-Year Average,,,,,101.69,,,,,,
5-Year Average,,,,,,,,,,-29.99,
10-Year Average,,,,-21.84,,,,,,,
