Key Margins % of Sales,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Revenue,,,,,,,,,,100.0,100.0
COGS,,,,,,,,,,55.39,61.18
Gross Margin,,,,,,,,,,44.61,38.82
SG&A,,,,,,,,,,5.77,4.22
R&D,,,,,,,,,,,
Other,,,,,,,,,,41.75,29.35
Operating Margin,,,,,,,,,,-2.92,5.25
Net Int Inc & Other,,,,,,,,,,4.68,2.49
EBT Margin,,,,,,,,,,1.76,7.73
