Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,10.92,13.95,5.59,6.23,6.76,0.44,-1.96,-2.0,-12.61,2.73,
3-Year Average,11.78,10.96,10.1,8.53,6.19,4.44,1.68,-1.18,-5.66,-4.18,
5-Year Average,12.71,11.83,10.94,8.91,8.64,6.51,3.35,1.82,-2.08,-2.83,
10-Year Average,11.14,12.13,11.72,11.16,10.56,9.56,7.51,6.28,3.27,2.75,
