Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,451.35,26.47,-1.55,29.13,16.46,12.04,20.56,4.65,2.22,8.33,8.97
3-Year Average,24.78,25.67,90.05,17.15,13.98,19.0,16.3,12.23,8.85,5.04,
5-Year Average,27.31,30.95,19.32,20.33,59.5,15.97,14.87,16.28,10.97,9.38,
10-Year Average,24.67,22.47,19.16,20.7,23.99,21.51,22.65,17.79,15.56,32.08,
