Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,-43.46,-99.51,,-83.35,-79.76,551.98,-72.63,1737.02,-90.75,
3-Year Average,,,,56.3,3.98,259.57,-39.66,-28.79,220.04,-22.52,
5-Year Average,,,,,,-33.65,8.21,141.98,2.01,-9.3,
10-Year Average,,,,,,,,,,,
