Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,71.57,73.7,72.83,71.85,72.72,71.18,70.62,69.68,69.93,69.06,69.15
Gross Margin,28.43,26.3,27.17,28.15,27.28,28.82,29.38,30.32,30.07,30.94,30.85
SG&A,16.36,17.71,20.51,19.14,18.77,19.88,20.43,19.42,19.11,19.29,19.36
R&D,,,,,,,,,,,
Other,,28.05,,,5.07,,,,,,
Operating Margin,12.07,-19.46,6.66,9.01,3.44,8.94,8.95,10.9,10.96,11.64,11.49
Net Int Inc & Other,-1.37,-1.38,-2.16,-1.79,-1.96,-1.87,-2.23,-1.51,-1.58,1.25,-1.72
EBT Margin,10.7,-20.84,4.5,7.22,1.48,7.07,6.72,9.38,9.38,12.89,9.76
