Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,3.0,,,,,,,,,,
Gross Margin %,-7.0,,,,,,,,,,
Operating Income AUD Mil,-4.0,-8.0,-5.0,-4.0,-3.0,-10.0,-4.0,-6.0,-9.0,-1.0,-1.0
Operating Margin %,-139.3,,,,,,,,,,
Net Income AUD Mil,-5.0,-7.0,-4.0,-3.0,-2.0,-5.0,-1.0,-1.0,-2.0,2.0,2.0
Earnings Per Share AUD,-0.12,-0.05,-0.04,-0.02,-0.01,-0.03,-0.01,-0.01,-0.01,0.01,0.01
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,37.0,151.0,121.0,133.0,141.0,147.0,156.0,159.0,159.0,159.0,159.0
Book Value Per Share * AUD,0.29,0.14,0.13,0.12,0.12,0.11,0.09,0.14,0.1,0.09,0.11
Operating Cash Flow AUD Mil,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0
Cap Spending AUD Mil,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-3.0,-4.0,-3.0,-8.0,-8.0
Free Cash Flow AUD Mil,-2.0,-3.0,-4.0,-3.0,-3.0,-3.0,-4.0,-5.0,-4.0,-9.0,-9.0
Free Cash Flow Per Share * AUD,-0.06,-0.02,-0.04,-0.03,-0.03,-0.02,-0.02,-0.02,-0.03,-0.02,
Working Capital AUD Mil,-3.0,0.0,4.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,
