Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,14.68,,89.31,23.77,,4.8,7.08,37.48,,7.42,
Net Margin %,2.26,-36.83,3.34,9.15,-7.09,9.01,14.05,2.85,12.97,4.18,-2.51
Asset Turnover (Average),0.16,0.14,0.14,0.14,0.15,0.16,0.17,0.15,0.18,0.18,0.18
Return on Assets %,0.35,-5.09,0.45,1.29,-1.06,1.45,2.33,0.42,2.33,0.75,-0.46
Financial Leverage (Average),5.81,7.47,4.83,4.24,4.73,4.32,4.57,4.49,5.03,5.34,6.42
Return on Equity %,2.06,-32.78,2.66,5.84,-4.74,6.53,10.34,1.88,11.12,3.9,-2.64
Return on Invested Capital %,,,,,,,,,,,
Interest Coverage,,,,,,,,,,,
