Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,13.19,1.5,8.15,13.01,5.45,-95.57,683.12,,,,
3-Year Average,15.64,10.89,7.51,7.45,8.83,-62.5,-28.5,,3.15,,
5-Year Average,14.7,12.63,11.17,10.76,8.17,-43.44,-14.89,,-44.81,,
10-Year Average,12.86,11.74,11.42,12.24,11.33,-19.45,-2.09,,-21.82,,
