Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,4.71,-3.29,18.1,18.37,19.98,10.13,3.47,-9.54,-43.59,,
3-Year Average,30.15,9.65,6.15,10.58,18.82,16.08,10.99,1.02,-19.18,,
5-Year Average,19.23,18.89,20.29,13.01,11.18,12.31,13.83,7.92,-6.95,,
10-Year Average,11.02,16.18,12.82,25.35,14.72,15.72,16.33,13.94,2.55,,
