Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,49.71,51.06,52.11,50.14,51.6,52.08,51.26,50.97,51.92,53.57,54.59
Gross Margin,50.29,48.94,47.89,49.86,48.4,47.92,48.74,49.03,48.08,46.43,45.41
SG&A,36.07,38.34,37.93,39.3,37.35,36.55,37.37,37.55,37.77,37.78,38.97
R&D,,,,,,,,,,,
Other,,,,,,,,,,,1.79
Operating Margin,14.22,10.61,9.96,10.56,11.05,11.37,11.37,11.48,10.31,8.65,4.65
Net Int Inc & Other,0.46,-0.97,-0.33,-0.32,-0.4,-0.29,-0.18,-0.38,-0.55,-0.6,-0.74
EBT Margin,14.68,9.64,9.62,10.24,10.65,11.09,11.19,11.09,9.76,8.05,3.92
