Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-79.68,,,252.08,64.5,42.81,8.06,21.21,4.04,22.74,
3-Year Average,-44.17,,-42.39,49.09,,102.23,36.41,23.21,10.87,15.67,
5-Year Average,-19.73,,-30.36,-8.53,2.06,50.75,,61.05,26.2,19.02,
10-Year Average,,,,,11.69,10.0,7.56,5.9,7.44,10.22,
