Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,6.09,2.94,5.76,3.71,,12.28,15.38,41.51,39.89,41.48,48.56
Free Cash Flow/Sales %,-0.32,0.88,12.49,18.52,-674.48,12.25,-0.36,-11.15,-12.79,-4.51,-26.64
Free Cash Flow/Net Income,-0.05,-0.13,-32.45,7.34,-0.08,-0.02,0.19,0.49,0.56,0.13,1.1
