Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,20.76,20.69,7.16,10.62,34.35,13.6,11.36,9.89,7.34,5.38,7.93
3-Year Average,24.25,22.19,16.02,12.68,16.78,19.07,19.34,11.61,9.52,7.52,
5-Year Average,27.45,28.07,19.93,16.68,18.34,16.9,15.04,15.62,14.92,9.48,
10-Year Average,,,26.94,,,22.06,21.38,17.75,15.8,13.82,
