Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,2.16,5.34,4.84,1.77,16.44,7.47,8.5,0.98,9.93,7.79,8.1
Free Cash Flow/Sales %,-75.16,-74.88,-57.0,-97.21,-147.78,-91.62,-85.49,-48.0,-213.53,-455.09,-397.49
Free Cash Flow/Net Income,0.86,0.87,0.75,1.2,1.21,0.98,1.1,1.0,0.79,0.87,0.67
