Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,67.21,-17.33,43.5,2.86,8.0,17.91,18.12,12.72,-32.46,28.91,
Free Cash Flow Growth % YOY,97.49,-22.38,61.5,-0.21,-5.0,19.22,19.02,18.18,-40.62,51.78,
Cap Ex as a % of Sales,1.67,1.76,1.32,1.63,2.63,2.6,2.85,2.54,2.64,1.83,1.94
Free Cash Flow/Sales %,9.7,7.11,12.16,11.37,8.8,9.12,10.34,11.75,6.89,10.47,9.86
Free Cash Flow/Net Income,1.18,0.9,1.9,1.53,0.94,0.91,0.98,1.33,0.67,1.17,1.24
