Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,-70.71,1231.89,-51.62,15.3,40.71,18.06,17.16,
3-Year Average,,,,,,23.59,95.14,-7.75,24.19,24.86,
5-Year Average,,,-30.12,-43.37,,,,25.09,65.31,1.66,
10-Year Average,,,2.49,-11.97,8.98,-2.98,-5.85,-6.5,-3.25,,
