Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,79.11,-24.42,-20.63,44.53,-14.76,4.85,-0.88,15.01,9.66,8.11,
Free Cash Flow Growth % YOY,213.13,-30.99,-26.37,38.68,-6.91,19.63,1.82,18.0,5.99,9.85,
Cap Ex as a % of Sales,4.96,6.1,7.22,8.59,5.94,3.86,3.38,2.95,4.24,3.97,3.92
Free Cash Flow/Sales %,26.89,20.53,18.13,18.77,17.76,22.76,24.35,26.88,28.59,30.54,29.04
Free Cash Flow/Net Income,1.4,1.34,1.29,0.81,1.09,1.66,1.37,1.24,1.24,1.14,0.97
