Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,50.59,5.73,13.3,15.65,-30.64,66.94,36.2,-55.18,-52.93,297.18,-1.57
3-Year Average,10.84,9.18,21.73,11.48,-3.14,10.22,16.4,0.63,-34.01,-5.72,
5-Year Average,21.17,20.47,10.28,11.26,7.67,9.91,15.62,-3.95,-19.76,13.76,
10-Year Average,19.81,6.06,14.97,17.67,10.38,15.41,18.02,2.92,-5.51,10.67,
