Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,6.38,-63.52,109.24,48.11,9.25,12.16,-15.79,21.42,12.32,1.19,
3-Year Average,50.96,-12.9,-6.71,4.17,50.16,21.98,1.05,4.67,4.72,11.33,
5-Year Average,56.0,-3.56,21.3,15.41,5.61,6.73,26.17,13.16,7.07,5.44,
10-Year Average,15.28,4.01,7.97,11.73,27.33,29.04,10.31,17.16,11.16,5.53,
