Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,-10.98,-76.56,45.54,28.71,44.53,44.51,171.58
3-Year Average,,,,,,,-32.78,-23.99,39.38,39.05,
5-Year Average,,,,,,,,,-10.79,-1.72,
10-Year Average,,,,,,,,,,,
