Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,18.07,-28.6,-53.5,169.86,-5.73,,,,,,
3-Year Average,27.78,13.99,-26.81,-3.6,5.76,,,,,,
5-Year Average,36.12,26.78,-7.08,13.2,-0.06,,,,,-23.71,
10-Year Average,21.63,15.34,4.56,12.83,7.18,,,,,-12.68,
