Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,48.08,44.54,44.31,34.69,37.49,37.85,40.2,36.26,37.35,39.06,38.14
Gross Margin,51.92,55.46,55.69,65.31,62.51,62.15,59.8,63.74,62.65,60.94,61.86
SG&A,14.09,14.51,22.58,14.46,14.2,15.1,15.34,14.56,14.33,14.14,12.54
R&D,15.01,15.22,16.09,15.07,15.46,19.02,20.13,20.65,21.91,21.45,21.11
Other,1.39,1.9,0.76,0.04,0.48,0.58,1.01,1.05,1.12,3.67,0.73
Operating Margin,21.43,23.82,16.26,35.73,32.37,27.44,23.32,27.47,25.29,21.68,27.49
Net Int Inc & Other,2.48,-3.37,-0.02,1.05,0.56,0.44,0.61,0.81,0.38,0.1,2.72
EBT Margin,23.91,20.45,16.24,36.78,32.93,27.88,23.93,28.28,25.67,21.78,30.21
