Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,,,,,,
SG&A,39.21,38.42,34.87,36.17,46.94,39.79,47.94,48.32,48.52,50.32,46.55
R&D,,,,,,,,,,,
Other,27.11,27.57,131.12,26.74,19.29,25.39,16.77,18.51,17.58,18.12,18.18
Operating Margin,1.14,-13.22,-151.37,13.24,27.1,29.59,31.98,30.29,30.56,26.14,30.33
Net Int Inc & Other,-32.54,-47.23,-85.38,-23.85,-6.67,-5.23,-3.31,-2.88,-3.34,-5.42,-4.94
EBT Margin,1.14,-13.22,-151.37,13.24,27.1,29.59,31.98,30.29,30.56,26.14,30.33
