Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,52.25,,,-93.48,1437.35,-35.66,,-38.15
3-Year Average,,,,,,28.82,-54.94,,-13.62,,
5-Year Average,,,,,,,,16.45,-1.98,,
10-Year Average,,,,,,,,,,,
