Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,64.71,41.07,-1.27,15.38,18.89,4.67,43.75,14.29,-3.26,0.56,-18.6
3-Year Average,30.84,-27.93,31.89,17.13,10.64,12.82,21.39,19.81,16.7,3.6,
5-Year Average,,,25.55,-15.67,25.77,14.87,15.3,18.73,14.61,10.84,
10-Year Average,,,,,,,,22.09,-1.69,18.07,
