Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,57.24,,,7.88,-56.96,501.95,-36.4,84.01,-66.83,7.15,
3-Year Average,36.29,,-9.5,-20.19,,40.87,18.12,91.7,-27.05,-13.2,
5-Year Average,34.7,,3.59,3.43,-19.21,5.67,,26.75,0.12,20.15,
10-Year Average,17.88,,8.25,3.83,,19.3,10.88,14.59,1.76,-1.48,
