Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,-229.0,-133.0,
Free Cash Flow Growth % YOY,,,,,,,,,-229.0,-133.0,
Cap Ex as a % of Sales,15.77,23.87,,,18.88,13.04,,,,,
Free Cash Flow/Sales %,1.36,-15.2,19.17,30.19,2.94,14.14,22.31,26.61,26.78,25.89,27.77
Free Cash Flow/Net Income,0.11,-1.82,5.07,3.22,0.29,1.3,1.94,2.27,2.24,2.25,2.11
