Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,1542.0,1371.0,1280.0,1235.0,1235.0
Gross Margin %,,,,,,,33.2,-37.0,17.2,19.1,19.1
Operating Income AUD Mil,,,,,,,161.0,-670.0,61.0,-188.0,-188.0
Operating Margin %,,,,,,,10.4,-48.9,4.8,-15.2,-15.2
Net Income AUD Mil,,,,,,,58.0,-592.0,325.0,-203.0,-203.0
Earnings Per Share AUD,,,,,,,0.07,-0.63,0.37,-0.23,-0.23
Dividends AUD,,,,,,,,0.08,0.19,0.12,0.12
Payout Ratio % *,,,,,,,,33.8,,,
Shares Mil,,,,,,,877.0,935.0,880.0,870.0,870.0
Book Value Per Share * AUD,,,,,,,1.33,1.41,1.01,0.76,0.72
Operating Cash Flow AUD Mil,,,,,,,189.0,246.0,50.0,-4.0,-4.0
Cap Spending AUD Mil,,,,,,,-57.0,-59.0,-58.0,-42.0,-42.0
Free Cash Flow AUD Mil,,,,,,,132.0,187.0,-8.0,-46.0,-46.0
Free Cash Flow Per Share * AUD,,,,,,,,0.08,0.08,-0.07,
Working Capital AUD Mil,,,,,,302.0,206.0,311.0,145.0,289.0,
