Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,173.33,-26.22,-37.19,32.89,55.45,-5.1,40.94,8.1,-0.44,-8.85,12.07
3-Year Average,,66.96,8.2,-14.92,9.07,25.16,27.63,13.08,14.9,-0.64,
5-Year Average,119.48,,,31.18,21.21,-1.9,11.66,24.46,17.48,5.58,
10-Year Average,17.04,28.6,15.84,15.36,18.96,46.74,,,24.14,13.13,
