Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,34.13,33.82,32.64,33.12,34.39,34.15,32.76,32.11
Gross Margin,,,,65.87,66.18,67.36,66.88,65.61,65.85,67.24,67.89
SG&A,,,,47.58,45.19,48.3,50.58,51.26,52.9,52.55,51.35
R&D,,,,,,,,,,,
Other,,,,,0.14,0.18,0.15,,,,
Operating Margin,,,,19.34,20.85,18.88,18.08,17.49,15.9,17.09,18.86
Net Int Inc & Other,,,,-0.01,,1.19,,,,,
EBT Margin,,,,19.34,20.85,20.06,18.08,17.49,15.9,17.09,18.86
