Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,50.0,136.36,152.56,63.45,32.92,3.74,-25.9,38.95
3-Year Average,,,,,,107.66,113.69,76.38,31.11,0.72,
5-Year Average,,,,,,,,81.05,68.18,33.36,
10-Year Average,,,,,,,,,,,
