Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,512.0,508.0,,,,,,-862.0,,,
Free Cash Flow Growth % YOY,,,,,,,,-725.0,,,
Cap Ex as a % of Sales,6.63,4.43,2.99,3.84,3.61,4.0,4.35,2.98,3.47,3.85,3.85
Free Cash Flow/Sales %,1.85,3.65,30.38,38.3,44.46,21.66,52.37,44.45,33.49,46.31,46.31
Free Cash Flow/Net Income,0.14,0.11,0.83,0.96,2.16,0.51,1.22,0.98,0.84,1.27,1.27
