Key Efficiency Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Days Sales Outstanding,100.42,141.99,165.67,402.63,492.09,694.86,,,,,
Days Inventory,,,,,,,,,,,
Payables Period,812.24,292.04,,,267.61,302.93,,,,,
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,3.63,2.57,2.2,0.91,0.74,0.53,,,,,
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,0.53,0.27,0.43,0.28,0.11,0.07,,,,,
Asset Turnover,0.31,0.17,0.19,0.13,0.06,0.04,,,,,
