Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,7.0,-3.61,2.62,5.83,-4.79,-0.99,-2.45,8.0,-6.89,-17.19,-10.08
3-Year Average,5.94,2.34,1.91,1.54,1.12,-0.08,-2.76,1.42,-0.64,-5.92,
5-Year Average,14.95,7.38,3.29,3.09,1.3,-0.27,-0.03,1.0,-1.55,-4.26,
10-Year Average,18.59,16.03,13.71,12.57,9.3,7.07,3.61,2.14,0.74,-1.52,
