Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,,,,-35.62,,,,
3-Year Average,,,-41.47,,,434.32,,,,-36.28,
5-Year Average,,,,,,,,,,,
10-Year Average,,,,,,19.45,19.93,,,22.01,
