Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,-2.72,-4.17,6.16,-3.11,8.93,4.57
3-Year Average,,,,,,,,-0.35,-0.48,3.86,
5-Year Average,,,,,,,,,,0.88,
10-Year Average,,,,,,,,,,,
