Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,,,4.17,15.0,6.92,74.65,74.65
Free Cash Flow/Sales %,,,,,,,-32.49,-22.95,-65.2,-272.59,-272.59
Free Cash Flow/Net Income,,,,,,,1.43,1.31,-0.5,0.71,0.71
