Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-1.69,18.06,33.19,12.9,9.45,28.83,7.86,7.64,2.72,3.91,4.34
3-Year Average,3.93,12.14,15.63,21.08,18.07,16.76,15.0,14.36,6.05,4.74,
5-Year Average,5.2,5.99,12.04,16.22,13.82,20.14,17.99,13.07,10.95,9.81,
10-Year Average,8.95,7.58,8.52,9.51,10.36,12.42,11.83,12.55,13.56,11.79,
