Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,68.38,28.55,34.09,24.54,-38.69,-21.58,10.21,-76.11,1154.49,87.46,-39.65
3-Year Average,14.14,24.91,42.64,29.0,0.79,-15.71,-19.08,-40.89,48.93,77.78,
5-Year Average,59.16,25.49,20.72,26.62,17.25,0.63,-2.42,-30.89,9.69,37.17,
10-Year Average,,,,,,26.56,10.66,-8.66,17.85,26.82,
