Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,53.53,51.78,51.22,51.16,50.94,50.8,49.64,48.46,47.07,45.44,49.11
Days Inventory,,,,,,,,,,,
Payables Period,13.25,14.29,15.64,14.53,12.37,11.58,10.43,8.69,12.52,19.93,19.9
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,6.82,7.05,7.13,7.13,7.17,7.18,7.35,7.53,7.75,8.03,7.43
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,8.74,7.09,6.03,6.02,6.63,7.49,8.05,8.27,7.98,7.54,6.84
Asset Turnover,0.69,0.57,0.54,0.53,0.56,0.54,0.51,0.53,0.58,0.56,0.48
