Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,53.33,54.57,56.34,58.05,58.55,59.04,59.07,58.76,58.63,58.72,58.94
Gross Margin,46.67,45.43,43.66,41.95,41.45,40.96,40.93,41.24,41.37,41.28,41.06
SG&A,27.01,24.78,23.83,23.54,23.15,23.3,23.18,22.83,22.6,22.48,22.31
R&D,,,,,,,,,,,
Other,0.92,0.38,,,,0.45,,,,,
Operating Margin,18.75,20.28,19.83,18.41,18.3,17.21,17.75,18.41,18.77,18.8,18.75
Net Int Inc & Other,1.9,1.22,1.04,1.1,1.54,0.9,0.63,0.52,0.38,1.65,1.59
EBT Margin,20.65,21.5,20.87,19.51,19.84,18.11,18.38,18.93,19.15,20.45,20.34
