Key Net Income %,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Year over Year,,3.42,-59.05,,,-14.32,31.76,,,62.85,
3-Year Average,,12.26,-25.46,,-32.15,-13.22,,,31.82,,
5-Year Average,,25.25,,,-20.58,-22.66,-13.51,,,31.68,
10-Year Average,,25.65,13.6,,1.75,-2.59,2.73,,0.61,6.19,
