Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,,,,,,405.83,53.06
Free Cash Flow/Sales %,,,,,,,,,,,-34.3
Free Cash Flow/Net Income,2.99,2.5,0.56,1.34,0.4,0.32,0.01,0.35,0.22,0.71,0.66
