Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-34.33,17.01,30.59,-11.59,72.98,11.37,15.17,6.78,24.79,3.22,
3-Year Average,0.18,-6.1,0.12,10.55,25.93,19.42,30.43,11.05,15.35,11.21,
5-Year Average,-0.57,0.01,8.97,-0.9,8.94,21.08,20.7,15.94,24.21,12.02,
10-Year Average,9.73,9.62,12.84,9.44,14.85,9.72,9.87,12.4,10.95,10.47,
