Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,211.9,24.88,25.89,-10.8,30.46,44.24,34.58,-29.6,
3-Year Average,,,,,69.89,11.93,13.57,18.84,36.31,10.97,
5-Year Average,,,,,,,41.67,21.42,23.25,9.72,
10-Year Average,,,,,,,,,,,
