Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,-66.36,460.9,32.87,-39.66,232.65,26.24,48.22,
3-Year Average,,,,,,35.85,65.06,38.68,36.34,83.95,
5-Year Average,,,,3.38,,,,38.15,79.98,37.92,
10-Year Average,,,,,,,,,36.4,,
