Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,104.86,21.0,6.1,64.07,-22.03,75.19,54.57,28.53,10.36,34.28,
Free Cash Flow Growth % YOY,158.04,57.08,-21.61,97.83,-27.93,96.69,49.99,-0.2,60.01,28.38,
Cap Ex as a % of Sales,7.54,4.88,8.3,7.09,6.0,6.91,9.1,13.2,5.94,8.64,8.64
Free Cash Flow/Sales %,12.66,21.3,12.5,18.69,12.18,20.98,24.6,17.27,27.38,31.66,31.66
Free Cash Flow/Net Income,0.98,1.8,0.98,1.17,0.95,1.35,1.23,0.7,0.9,1.14,1.14
