Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-3.16,3.19,-13.92,-19.0,-11.72,-15.74,-21.99,-13.92,-14.02,-16.48,-6.24
3-Year Average,1.46,6.01,-4.9,-10.4,-14.94,-15.54,-16.59,-17.29,-16.73,-14.81,
5-Year Average,8.43,5.21,-1.49,-3.64,-9.26,-11.75,-16.55,-16.55,-15.55,-16.48,
10-Year Average,,,,,,-2.18,-6.3,-9.33,-9.79,-12.95,
