Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,13.83,-77.13,446.3,2.91,-10.07,14.86,13.49,13.35,-2.29,
3-Year Average,,20.55,-33.32,12.45,8.74,71.63,2.06,5.44,13.9,7.92,
5-Year Average,,25.01,-9.83,16.96,10.76,5.64,5.84,45.81,6.46,5.36,
10-Year Average,,,,19.92,24.35,22.95,15.03,14.66,11.59,8.03,
