Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,27.17,,,29.54,,
Net Margin %,,,,,,,-26.5,-4.01,4.3,-24.66,-24.66
Asset Turnover (Average),,,,,,,0.12,0.52,0.53,0.55,0.55
Return on Assets %,-4.27,-0.05,5.61,17.04,-4.98,40.82,-3.07,-2.09,2.28,-13.65,-13.65
Financial Leverage (Average),1.05,1.04,1.02,1.03,1.03,1.1,1.15,1.12,1.16,1.23,1.23
Return on Equity %,-4.45,-0.05,5.79,17.47,-5.15,44.5,-3.54,-2.37,2.6,-16.29,-16.29
Return on Invested Capital %,-5.41,-1.99,5.22,16.74,-6.58,42.08,-4.21,-2.46,2.57,-15.96,-15.96
Interest Coverage,,,,,-23.88,,-2.46,-20.82,16.28,-31.43,-31.43
